location,source,target
0x46e000@mhfdat-jp.bin,装備無し,Unequipped
0x46e004@mhfdat-jp.bin,レザーライトヘルム,Leather Helm
0x46e008@mhfdat-jp.bin,チェーンヘルム,Chainmail Helm
0x46e00c@mhfdat-jp.bin,ハンターヘルム,Hunter's Helm
0x46e010@mhfdat-jp.bin,ハンターキャップ,Hunter's Cap
0x46e014@mhfdat-jp.bin,ボーンヘルム,Bone Helm
0x46e018@mhfdat-jp.bin,ボーンキャップ,Bone Cap
0x46e01c@mhfdat-jp.bin,ランポスヘルム,Veloci Helm
0x46e020@mhfdat-jp.bin,ランポスキャップ,Veloci Cap
0x46e024@mhfdat-jp.bin,バトルヘルム,Battle Helm
0x46e028@mhfdat-jp.bin,バトルキャップ,Battle Cap
0x46e02c@mhfdat-jp.bin,ランゴヘルム,Vespoid Helm
0x46e030@mhfdat-jp.bin,ランゴキャップ,Vespoid Cap
0x46e034@mhfdat-jp.bin,タロスヘルム,Hornetaur Helm
0x46e038@mhfdat-jp.bin,タロスキャップ,Hornetaur Cap
0x46e03c@mhfdat-jp.bin,ハイメタヘルム,High Metal Helm
0x46e040@mhfdat-jp.bin,ハイメタキャップ,High Metal Cap
0x46e044@mhfdat-jp.bin,ゲネポスヘルム,Gen Helm
0x46e048@mhfdat-jp.bin,ゲネポスキャップ,Gen Cap
0x46e04c@mhfdat-jp.bin,イーオスヘルム,Io Helm
0x46e050@mhfdat-jp.bin,イーオスキャップ,Io Cap
0x46e054@mhfdat-jp.bin,ゲリョスヘルム,Gypceros Helm
0x46e058@mhfdat-jp.bin,ゲリョスキャップ,Gypceros Cap
0x46e05c@mhfdat-jp.bin,ガレオスヘルム,Cepha Helm
0x46e060@mhfdat-jp.bin,ガレオスキャップ,Cepha Cap
0x46e064@mhfdat-jp.bin,レイアヘルム,Rathian Helm
0x46e068@mhfdat-jp.bin,レイアキャップ,Rathian Cap
0x46e06c@mhfdat-jp.bin,フルフルヘルム,Khezu Helm
0x46e070@mhfdat-jp.bin,フルフルキャップ,Khezu Cap
0x46e074@mhfdat-jp.bin,レウスヘルム,Rathalos Helm
0x46e078@mhfdat-jp.bin,レウスキャップ,Rathalos Cap
0x46e07c@mhfdat-jp.bin,ガノスヘルム,Plesioth Helm
0x46e080@mhfdat-jp.bin,ガノスキャップ,Plesioth Cap
0x46e084@mhfdat-jp.bin,キングロブスタヘルム,King Lobster Helm
0x46e088@mhfdat-jp.bin,バサルヘルム,Basarios Helm
0x46e08c@mhfdat-jp.bin,バサルキャップ,Basarios Cap
0x46e090@mhfdat-jp.bin,ディアブロヘルム,Diablos Helm
0x46e094@mhfdat-jp.bin,ディアブロキャップ,Diablos Cap
0x46e098@mhfdat-jp.bin,モノブロスヘルム,Monoblos Helm
0x46e09c@mhfdat-jp.bin,モノブロスキャップ,Monoblos Cap
0x46e0a0@mhfdat-jp.bin,グラビドヘルム,Gravios Helm
0x46e0a4@mhfdat-jp.bin,グラビドキャップ,Gravios Cap
0x46e0a8@mhfdat-jp.bin,クロオビヘルム,Black Belt Helm
0x46e0ac@mhfdat-jp.bin,モスフェイク,Mosswine Mask
0x46e0b0@mhfdat-jp.bin,アイルーフェイク,Felyne Mask
0x46e0b4@mhfdat-jp.bin,混沌のパオ,混沌のパオ
0x46e0b8@mhfdat-jp.bin,メルホアフロール,Melahoa Vizor
0x46e0bc@mhfdat-jp.bin,マカルパフード,Makluva Hood
0x46e0c0@mhfdat-jp.bin,ビストロキャップ,Bistro Cap
0x46e0c4@mhfdat-jp.bin,ランポスフェイク,Veloci Mask
0x46e0c8@mhfdat-jp.bin,ゲネポスフェイク,Gen Mask
0x46e0cc@mhfdat-jp.bin,イーオスフェイク,Io Mask
0x46e0d0@mhfdat-jp.bin,ブルファンゴフェイク,Bullfango Mask
0x46e0d4@mhfdat-jp.bin,レッドピアス,Red Piercings
0x46e0d8@mhfdat-jp.bin,ブルーピアス,Blue Piercings
0x46e0dc@mhfdat-jp.bin,イエローピアス,Yellow Piercings
0x46e0e0@mhfdat-jp.bin,ブラックピアス,Black Piercings
0x46e0e4@mhfdat-jp.bin,忍の面・陽,Shinobi Mask・陽
0x46e0e8@mhfdat-jp.bin,忍の面・陰,Shinobi Mask・陰
0x46e0ec@mhfdat-jp.bin,ガーディアンヘルム,Guardian Helm
