location,source,target
0x4391e0@mhfdat-jp.bin,装備無し,装備無し
0x4391e4@mhfdat-jp.bin,グリーンジャージー,Green Jersey
0x4391e8@mhfdat-jp.bin,ブルージャージー,Blue Jersey
0x4391ec@mhfdat-jp.bin,ハンターグリーヴ,Hunter's Greaves
0x4391f0@mhfdat-jp.bin,ハンターレギンス,Hunter's Leggings
0x4391f4@mhfdat-jp.bin,ボーングリーヴ,Bone Greaves
0x4391f8@mhfdat-jp.bin,ボーンレギンス,Bone Leggings
0x4391fc@mhfdat-jp.bin,ランポスグリーヴ,Veloci Greaves
0x439200@mhfdat-jp.bin,ランポスレギンス,Veloci Leggings
0x439204@mhfdat-jp.bin,バトルグリーヴ,Battle Greaves
0x439208@mhfdat-jp.bin,バトルレギンス,Battle Leggings
0x43920c@mhfdat-jp.bin,シルバーメタルブーツ,Silver Metal Boots
0x439210@mhfdat-jp.bin,ランゴグリーヴ,Vespoid Greaves
0x439214@mhfdat-jp.bin,ランゴレギンス,Vespoid Leggings
0x439218@mhfdat-jp.bin,タロスグリーヴ,Hornetaur Greaves
0x43921c@mhfdat-jp.bin,タロスレギンス,Hornetaur Leggings
0x439220@mhfdat-jp.bin,ハイメタグリーヴ,High Metal Greaves
0x439224@mhfdat-jp.bin,ハイメタレギンス,High Metal Leggings
0x439228@mhfdat-jp.bin,ダークメタルブーツ,Dark Metal Boots
0x43922c@mhfdat-jp.bin,ゲネポスグリーヴ,Gen Greaves
0x439230@mhfdat-jp.bin,ゲネポスレギンス,Gen Leggings
0x439234@mhfdat-jp.bin,ピンクメタルブーツ,Pink Metal Boots
0x439238@mhfdat-jp.bin,クロムメタルブーツ,Chrome Metal Boots
0x43923c@mhfdat-jp.bin,イーオスグリーヴ,Io Greaves
0x439240@mhfdat-jp.bin,イーオスレギンス,Io Leggings
0x439244@mhfdat-jp.bin,ゲリョスグリーヴ,Gypceros Greaves
0x439248@mhfdat-jp.bin,ゲリョスレギンス,Gypceros Leggings
0x43924c@mhfdat-jp.bin,ガレオスグリーヴ,Cepha Greaves
0x439250@mhfdat-jp.bin,ガレオスレギンス,Cepha Leggings
0x439254@mhfdat-jp.bin,レイアグリーヴ,Rathian Greaves
0x439258@mhfdat-jp.bin,レイアレギンス,Rathian Leggings
0x43925c@mhfdat-jp.bin,フルフルグリーヴ,Khezu Greaves
0x439260@mhfdat-jp.bin,フルフルレギンス,Khezu Leggings
0x439264@mhfdat-jp.bin,レウスグリーヴ,Rathalos Greaves
0x439268@mhfdat-jp.bin,レウスレギンス,Rathalos Leggings
0x43926c@mhfdat-jp.bin,ガノスグリーヴ,Plesioth Greaves
0x439270@mhfdat-jp.bin,ガノスレギンス,Plesioth Leggings
0x439274@mhfdat-jp.bin,バサルグリーヴ,Basarios Greaves
0x439278@mhfdat-jp.bin,バサルレギンス,Basarios Leggings
0x43927c@mhfdat-jp.bin,ディアブログリーヴ,Diablos Greaves
0x439280@mhfdat-jp.bin,ディアブロレギンス,Diablos Leggings
0x439284@mhfdat-jp.bin,モノブロスグリーヴ,Monoblos Greaves
0x439288@mhfdat-jp.bin,モノブロスレギンス,Monoblos Leggings
0x43928c@mhfdat-jp.bin,グラビドグリーヴ,Gravios Greaves
0x439290@mhfdat-jp.bin,グラビドレギンス,Gravios Leggings
0x439294@mhfdat-jp.bin,クロオビグリーヴ,Black Belt Greaves
0x439298@mhfdat-jp.bin,モスフット,Mosswine Feet
0x43929c@mhfdat-jp.bin,ランポスーツフット,Veloci ーツ Feet
0x4392a0@mhfdat-jp.bin,ゲネポスーツフット,Gen ーツ Feet
0x4392a4@mhfdat-jp.bin,イーオスーツフット,Io ーツ Feet
0x4392a8@mhfdat-jp.bin,忍の足袋・陽,忍の Tabi・陽
0x4392ac@mhfdat-jp.bin,忍の足袋・陰,忍の Tabi・陰
0x4392b0@mhfdat-jp.bin,ガーディアンブーツ,Guardian Boots
0x4392b4@mhfdat-jp.bin,ガーディアンフット,Guardian Feet
0x4392b8@mhfdat-jp.bin,ヘルパーソックス,Helper Socks
0x4392bc@mhfdat-jp.bin,ヒーラーソックス,Healer Socks
0x4392c0@mhfdat-jp.bin,ガルルガグリーヴ,Garuga Greaves
0x4392c4@mhfdat-jp.bin,ガルルガレギンス,Garuga Leggings
