index,source,target
0,Change Land,Change Land
1,Change World,Change World
2,Quest Board,Quest Board
3,Bounty Board,Bounty Board
4,Clan Hall,Clan Hall
5,House,House
6,Workshop,Workshop
7,Harisen Felyne,Harisen Felyne
8,Mezeporta Square,Mezeporta Square
9,Pallone Caravan,Pallone Caravan
10,Gallery,Gallery
11,Garden,Garden
12,Tore,Tore
13,Support,Support
14,Missions,Missions
15,Public Bar,Public Bar
16,Exchange Bar,Exchange Bar
17,Public Bar Entrance,Public Bar Entrance
18,Exchange Bar Entrance,Exchange Bar Entrance
19,Quest Board,Quest Board
20,Boss Kiel,Boss Kiel
21,Jump to Clan Hall,Jump to Clan Hall
22,Change Land,Change Land
23,Change World,Change World
