index,source,target
0,None,None
1,Novice,Novice
2,Veteran,Veteran
3,Skilled Hunter,Skilled Hunter
4,Vagrant,Vagrant
5,Stranger,Stranger
6,Ranger,Ranger
7,Rookie Hunter,Rookie Hunter
8,Woodsman,Woodsman
9,Warden,Warden
10,Beast Slayer,Beast Slayer
11,Bone Duster,Bone Duster
12,Warrior,Warrior
13,Bullfighter,Bullfighter
14,Berserker,Berserker
15,Mercenary,Mercenary
16,Bounty Hunter,Bounty Hunter
17,Veteran Attacker,Veteran Attacker
18,Iron Breaker,Iron Breaker
19,Samurai,Samurai
20,Grand Walker,Grand Walker
21,Strider,Strider
22,Explorer,Explorer
23,Forest Guardian,Forest Guardian
24,Road of Hunter,Road of Hunter
25,Glorious Braver,Glorious Braver
26,Champion,Champion
27,Hero,Hero
28,Monster Hunter,Monster Hunter
29,Legend,Legend
30,Bourgeois Hunter,Bourgeois Hunter
31,Dedicated Hunter,Dedicated Hunter
32,Combination Sage,Combination Sage
33,Gourmand,Gourmand
34,Royal Host,Royal Host
35,Popular,Popular
36,Arm Wrestler,Arm Wrestler
37,Heavy Drinker,Heavy Drinker
38,Sniper,Sniper
39,Treasure Hunter,Treasure Hunter
40,Mayoral Candidate,Mayoral Candidate
41,Velocidrome Hunter,Velocidrome Hunter
42,Gendrome Hunter,Gendrome Hunter
43,Iodrome Hunter,Iodrome Hunter
44,Bulldrome Hunter,Bulldrome Hunter
45,Kut-Ku Hunter,Kut-Ku Hunter
46,Gypceros Hunter,Gypceros Hunter
47,Cephadrome Hunter,Cephadrome Hunter
48,Rathian Hunter,Rathian Hunter
49,Khezu Hunter,Khezu Hunter
50,Plesioth Hunter,Plesioth Hunter
51,Monoblos Hunter,Monoblos Hunter
52,Diablos Hunter,Diablos Hunter
53,Basarios Hunter,Basarios Hunter
54,Gravios Hunter,Gravios Hunter
55,Rathalos Hunter,Rathalos Hunter
56,Kirin Hunter,Kirin Hunter
57,Garuga Hunter,Garuga Hunter
58,Daimyo Hunter,Daimyo Hunter
59,Shogun Hunter,Shogun Hunter
60,Blangonga Hunter,Blangonga Hunter
61,Congalala Hunter,Congalala Hunter
62,Kushala Hunter,Kushala Hunter
63,Chameleos Hunter,Chameleos Hunter
64,Teo Hunter,Teo Hunter
65,Luna Hunter,Luna Hunter
66,Blue Claws,Blue Claws
67,Green Fangs,Green Fangs
68,Red Poison,Red Poison
69,Reckless,Reckless
70,Red Bird,Red Bird
71,Flash,Flash
72,Desert Sand,Desert Sand
73,Wyvern Princess,Wyvern Princess
74,White Shadow,White Shadow
75,Torrent,Torrent
76,One-Horn,One-Horn
77,Twin Demon,Twin Demon
78,Hidden Rock,Hidden Rock
79,Flaming Mountain,Flaming Mountain
80,Monarch,Monarch
81,Thunder God,Thunder God
82,Black Wolf,Black Wolf
83,Solid Shield,Solid Shield
84,Sharp Sword,Sharp Sword
85,Strength,Strength
86,Clown,Clown
87,Storm,Storm
88,Iridescence,Iridescence
89,Flame Emperor,Flame Emperor
90,Hellfire,Hellfire
91,Gold,Gold
92,Windstorm,Windstorm
93,Walking Fortress,Walking Fortress
94,Approaching Dragon,Approaching Dragon
95,Floating Mountain,Floating Mountain
96,Dragon Killer,Dragon Killer
97,Dragon King,Dragon King
98,Dragon Emperor,Dragon Emperor
99,Capture God,Capture God
100,Giant,Giant
101,Gigantic,Gigantic
102,King of Kings,King of Kings
103,Big King,Big King
